payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Департамент ЖКГ,03365707,54.72,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Озерна,1а у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,25.93,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Нікольська,14 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,64.73,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Г.Карпенка,75 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,105.45,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утр.від.технагляду за пос. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.11-а Поздовжня,31а(1-2під.)у м.Мик.;зг.зв.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,123.79,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Ск.Ізмалкова,132 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,30.8,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по пр.Героїв України,49 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,41.87,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Г.Карпенка,6 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,64.67,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по пр.Миру,27а у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,112.23,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Колодязна,7 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,160.25,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Знам'янська,47 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,64.73,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по пр.Центральний,160 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,109.72,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Пушкінська,66 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,30.8,Департамент ЖКГ,03365707,2021-04-16,"1216016;2240;відр.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Казарського,1/1 у м.Мик.;згід.звед.кошт.роз.за 04.2021;Без ПДВ."
Департамент ЖКГ,03365707,1653.3,Департамент ЖКГ,03365707,2021-04-28,"1216011;2240;відр.на утр.від тех.нагл.за посл.з пот.рем.ел.мер.ж/б(гурт.) в.Миколаївська, 19А в м.Мик;згід.звед.кошт.розр.за 04.2021;БезПДВ."
Департамент ЖКГ,03365707,98.66,Департамент ЖКГ,03365707,2021-04-09,"1216016;2240;відрах.на утрим.від.технагляду за посл. поточ.рем.прил.обл.тепл.енер.в ж/б по вул.Казарського,1/3 у м.Мик.;згід.звед.кошт.розр.за 01.2021;Без ПДВ."
Департамент ЖКГ,03365707,521.82,Департамент ЖКГ,03365707,2021-04-29,"1216011;3131;відр.на утрим.від.технаг.за посл.з кап.рем.покрівлі ж/б по в.Озерна, 15Б в м.Мик.;згідно звед.кошт.розрах.за 02.21р.;Без ПДВ."
Департамент ЖКГ,03365707,2639,Департамент ЖКГ,03365707,2021-04-29,"1216011;3131;відр.на утрим.від.технаг.за посл.з кап.рем.покрівлі ж/б по в.Ген.Карпенка, 51 в м.Мик.;згідно звед.кошт.розрах.за 03.21р.;Без ПДВ."
Департамент ЖКГ,03365707,625.2,Департамент ЖКГ,03365707,2021-04-29,"1216011;3131;відр.на утрим.від.технаг.за посл.з кап.рем.покрівлі ж/б по в.Озерна, 15В в м.Мик.;згідно звед.кошт.розрах.за 01.21р.;Без ПДВ."
